SID,ETV Date,ETV Dose,Goat ID,Name,Nitroxinil,Nitroxinil Dose,PPR Date
1,"May 30, 2026",1ml,1 (https://app.notion.com/p/1-25d2fab8a40580519af3f18b35364297?pvs=21),Gulabo,"March 15, 2026",2.5ml,"December 13, 2025"
14,"May 30, 2026",1ml,22 (https://app.notion.com/p/22-27a2fab8a4058036875affb07b74deed?pvs=21),Chocolate,"March 15, 2026",1ml,"December 13, 2025"
13,"May 30, 2026",1ml,20 (https://app.notion.com/p/20-25d2fab8a40580c4b381dcaa95c0a3e4?pvs=21),Emma,"March 15, 2026",1ml,"December 13, 2025"
12,"May 30, 2026",1ml,19 (https://app.notion.com/p/19-25d2fab8a4058006ac36c60d84b9ab81?pvs=21),Titli,"March 15, 2026",1ml,"December 13, 2025"
10,"May 30, 2026",1ml,16 (https://app.notion.com/p/16-25d2fab8a40580358006e95ebe9c7d64?pvs=21),Paro,"March 15, 2026",3ml,"December 13, 2025"
8,"May 30, 2026",1ml,12 (https://app.notion.com/p/12-25d2fab8a405807fad18cfc7c7fb677d?pvs=21),Shezada,"March 15, 2026",1ml,"December 13, 2025"
7,"May 30, 2026",1ml,11 (https://app.notion.com/p/11-25d2fab8a40580b0a84ee49c48b9592a?pvs=21),Lallo,"March 15, 2026",1ml,"December 13, 2025"
6,"May 30, 2026",1ml,9 (https://app.notion.com/p/9-25d2fab8a40580bab759edd30ae43375?pvs=21),Brownie,"March 14, 2026",1ml,"December 13, 2025"
5,"May 30, 2026",1ml,8 (https://app.notion.com/p/8-25d2fab8a40580d1bbd1f40afcbd720e?pvs=21),Cheeku,"March 14, 2026",1ml,"December 13, 2025"
4,"May 30, 2026",1ml,7 (https://app.notion.com/p/7-25d2fab8a4058011b0c6ca5b77323918?pvs=21),Choti Sheezadi,"March 15, 2026",1ml,"December 13, 2025"
3,"May 30, 2026",1ml,6 (https://app.notion.com/p/6-25d2fab8a40580d292efc90b8cf6b554?pvs=21),Gurdya,"March 15, 2026",1ml,"December 13, 2025"
2,"May 30, 2026",1ml,3 (https://app.notion.com/p/3-25d2fab8a40580fb99c6ced201efc7da?pvs=21),Bilo Rani,"March 15, 2026",1ml,"December 13, 2025"
15,,1ml,23 (https://app.notion.com/p/23-27d2fab8a40580a79bc6d873b91815bf?pvs=21),Velvet,"March 15, 2026",1ml,"December 13, 2025"
16,"May 30, 2026",1ml,24 (https://app.notion.com/p/24-2862fab8a40580da83f5cb98d3868613?pvs=21),Grace,"March 15, 2026",2ml,"December 13, 2025"
18,"May 30, 2026",1ml,27 (https://app.notion.com/p/27-2922fab8a40580c2a8c3faa4631cb880?pvs=21),Bubbly,"March 15, 2026",1ml,"December 13, 2025"
21,"May 30, 2026",1ml,30 (https://app.notion.com/p/30-2a12fab8a405803dab73fcfd5d81bce6?pvs=21),Queen,"March 15, 2026",1ml,"December 13, 2025"
22,"May 30, 2026",1ml,33 (https://app.notion.com/p/33-2fb2fab8a4058071aaacd18c74d03038?pvs=21),Masakali,"March 15, 2026",1ml,
23,"May 30, 2026",1ml,34 (https://app.notion.com/p/34-2fb2fab8a40580adbc77f577dec20a4b?pvs=21),Coco,"March 15, 2026",1ml,
24,,,36 (https://app.notion.com/p/36-3022fab8a405800e8486e3d5c3a2b99e?pvs=21),Daisy,,,
25,,,38 (https://app.notion.com/p/38-30e2fab8a40580e6a861e86b1dc03f6f?pvs=21),Bruno,,,
26,,,39 (https://app.notion.com/p/39-30e2fab8a405807a97c2d2378c6c94f9?pvs=21),Leo,,,
27,,,40 (https://app.notion.com/p/40-31a2fab8a405803dbba6d4d5efe69ee6?pvs=21),Bhola,,,
29,"May 30, 2026",1ml,43 (https://app.notion.com/p/43-3432fab8a4058017b15ed83561719261?pvs=21),Cadbury,"June 28, 2026",1ml,
28,"May 30, 2026",1ml,42 (https://app.notion.com/p/42-3352fab8a40580c19b92d690146c1824?pvs=21),Charcoal,"June 28, 2026",1ml,
30,,,44 (https://app.notion.com/p/44-35d2fab8a40580a7a9a0f8653e0a713a?pvs=21),Babblu,,,
31,,,45 (https://app.notion.com/p/45-36b2fab8a40580148162fca79911d121?pvs=21),Toffee,,,
32,,,46 (https://app.notion.com/p/46-3772fab8a40580feb936dec2bf8b47bd?pvs=21),Munni,,,
33,,,47 (https://app.notion.com/p/47-37d2fab8a405808d905cfcc8b2463ae1?pvs=21),Shelby,"June 28, 2026",2ml,
